Public_ID	Family_ID	Zygosity	Sex	Duplicate	OtherTwin	NRD	nSNPs	Depth	Singletons	TsTv	Discord	Het	HomAlt	NumRelationsIBD0125	PiHat0125	PCAfail	SexCheck	ALSPAC_Pop_Strat_QC	ALSPAC_Relatedness_QC	ALSPAC_Other_QC	PhenoNum	SeqQCPass	PopQCPass	RelQCPass	CotwinQCPass	DuplicateQCPass	Pass
QTL210537	UK10K755	Dizygotic	female	NA	NA	0.499	3368241	4.864	4089	2.095	0.22	23.05	12.55	0	NA	NA	NA	NA	NA	NA	33	yes	yes	yes	yes	yes	yes
QTL210542	UK10K1062	Dizygotic	female	NA	NA	1.057	3386330	5.864	4577	2.092	0.59	24.03	12.05	0	NA	NA	NA	NA	NA	NA	35	yes	yes	yes	yes	yes	yes
QTL210550	UK10K1699	Dizygotic	female	NA	NA	0.287	3389217	8	6480	2.088	0.1	24.57	11.79	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL210553	UK10K683	Dizygotic	female	NA	NA	0.453	3383953	5	4493	2.09	0.25	23.15	12.4	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210557	UK10K123	Dizygotic	female	NA	NA	0.4	3381738	5.227	4699	2.092	0.14	23.03	12.32	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL210560	UK10K295	Dizygotic	female	NA	NA	0.412	3401493	5.818	4405	2.092	0.19	23.26	12.32	0	NA	NA	NA	NA	NA	NA	30	yes	yes	yes	yes	yes	yes
QTL210561	UK10K379	Dizygotic	female	NA	NA	0.457	3382909	5.273	6147	2.092	0.19	23.08	12.76	0	NA	NA	NA	NA	NA	NA	31	yes	yes	yes	yes	yes	yes
QTL210563	UK10K1765	Dizygotic	female	NA	NA	0.396	3403120	8.727	6953	2.089	0.22	22.78	12.82	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL210566	UK10K678	Dizygotic	female	NA	NA	0.462	3389289	5.455	4615	2.09	0.16	24.67	11.41	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL210568	UK10K829	Dizygotic	female	NA	NA	0.411	3413974	5.955	4765	2.09	0.22	24.76	12.1	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL210572	UK10K679	Dizygotic	female	NA	NA	0.473	3390034	5	4429	2.09	0.22	25.26	11.49	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL210575	UK10K1713	Dizygotic	female	NA	NA	0.379	3386824	6	5170	2.089	0.2	23.19	13.69	0	NA	NA	NA	NA	NA	NA	34	yes	yes	yes	yes	yes	yes
QTL210576	UK10K839	Dizygotic	female	NA	NA	0.487	3393044	5.227	4791	2.09	0.22	22.49	12.33	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL210578	UK10K1775	Dizygotic	female	NA	NA	0.359	3403637	6.955	7243	2.089	0.16	22.62	12.56	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL210580	UK10K813	Dizygotic	female	NA	NA	0.486	3400223	5.091	4569	2.092	0.21	23.75	11.9	0	NA	NA	NA	NA	NA	NA	32	yes	yes	yes	yes	yes	yes
QTL210582	UK10K805	Dizygotic	female	NA	NA	0.46	3372423	4.909	3527	2.088	0.19	22.94	12.69	0	NA	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL210584	UK10K309	Dizygotic	female	NA	NA	0.429	3380273	5	4269	2.092	0.13	23.87	11.93	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL210586	UK10K841	Dizygotic	female	NA	NA	0.431	3379626	5.818	5053	2.092	0.19	22.4	13.51	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL210587	UK10K1721	Dizygotic	female	NA	NA	0.532	3384658	4.5	3890	2.092	0.27	23.44	12.61	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL210589	UK10K1696	Dizygotic	female	NA	NA	1.226	3395739	6	7386	2.088	0.71	23.34	12.81	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL210591	UK10K862	Dizygotic	female	NA	NA	0.536	3366513	4.864	4479	2.09	0.21	23.03	12.86	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL210595	UK10K863	Dizygotic	female	NA	NA	1.778	3383729	4.909	4541	2.09	0.89	22.98	13.2	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL210598	UK10K1708	Dizygotic	female	NA	NA	0.396	3393945	5.864	5150	2.09	0.15	23.55	12.93	0	NA	NA	NA	NA	NA	NA	31	yes	yes	yes	yes	yes	yes
QTL210604	UK10K793	Dizygotic	female	NA	NA	0.455	3394773	5.682	5333	2.091	0.26	23.91	12.17	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL210607	UK10K1769	Dizygotic	female	NA	NA	0.396	3379812	5.545	4577	2.087	0.24	23.42	12.1	0	NA	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL210608	UK10K794	Dizygotic	female	NA	NA	0.529	3383327	4.773	4352	2.09	0.23	22.76	12.7	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210611	UK10K875	Dizygotic	female	NA	NA	0.578	3375738	4.091	3438	2.087	0.25	23.48	12.26	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL210613	UK10K1182	Dizygotic	female	NA	NA	0.742	3399237	5.545	4783	2.091	0.32	23.3	12.74	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL210614	UK10K1139	Dizygotic	female	NA	NA	0.442	3392860	5	3909	2.093	0.25	24.16	12.02	0	NA	NA	NA	NA	NA	NA	34	yes	yes	yes	yes	yes	yes
QTL210617	UK10K696	Monozygotic	female	NA	NA	0.306	3401376	7	5625	2.085	0.17	24.19	12.28	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210619	UK10K551	Dizygotic	female	NA	NA	0.564	3370098	4.864	4483	2.09	0.3	21.23	12.49	0	NA	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL210620	UK10K323	Dizygotic	female	NA	NA	0.401	3404463	5.909	5816	2.089	0.19	23.96	12.68	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210627	UK10K1698	Dizygotic	female	NA	NA	0.4	3386544	5.955	6684	2.087	0.18	23.58	12.13	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210629	UK10K880	Dizygotic	female	NA	NA	0.38	3395507	6	5879	2.085	0.16	23.74	12.45	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210632	UK10K983	Dizygotic	female	NA	NA	0.461	3405883	5.318	4409	2.089	0.19	24.37	12.57	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210633	UK10K742	Dizygotic	female	NA	UK10K_TW5093590	0.522	3380969	5.682	2721	2.09	0.34	23.89	12.05	0	UK10K_TW5093590	NA	NA	NA	NA	NA	NA	yes	yes	yes	no	yes	no
QTL210636	UK10K927	Dizygotic	female	NA	NA	0.423	3377713	5.727	4472	2.089	0.22	23.79	11.82	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL210637	UK10K78	Dizygotic	female	NA	NA	0.422	3386953	5	3880	2.091	0.16	23	12.82	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL210639	UK10K558	Monozygotic	female	NA	QTL212979	0.355	3381588	5.909	835	2.087	0.16	22.99	12.65	0	QTL212979	NA	NA	NA	NA	NA	NA	yes	yes	yes	no	yes	no
QTL210640	UK10K556	Monozygotic	female	NA	QTL210652	0.33	3408343	6.136	1316	2.086	0.15	23.76	12.72	0	QTL210652	NA	NA	NA	NA	NA	NA	yes	yes	yes	no	yes	no
QTL210641	UK10K886	Dizygotic	female	NA	NA	0.478	3372750	4.864	3539	2.091	0.25	22.26	12.96	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210645	UK10K1688	Dizygotic	female	NA	NA	0.359	3396795	6.773	5471	2.09	0.16	24.36	12.03	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL210650	UK10K900	Monozygotic	female	NA	NA	0.376	3397703	6	5529	2.088	0.18	24.32	12.66	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL210652	UK10K556	Monozygotic	female	NA	QTL210640	0.476	3396169	4.864	787	2.09	0.22	23.47	12.61	0	QTL210640	NA	NA	NA	NA	NA	32	yes	yes	yes	yes	yes	yes
QTL210656	UK10K1771	Dizygotic	female	NA	NA	0.365	3415106	6.864	5793	2.087	0.16	23.72	12.14	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL210657	UK10K881	Dizygotic	female	NA	NA	0.446	3385853	5.364	4866	2.091	0.15	22.91	12.62	0	NA	NA	NA	NA	NA	NA	35	yes	yes	yes	yes	yes	yes
QTL210659	UK10K1672	Dizygotic	female	NA	NA	0.256	3395845	9.045	6667	2.085	0.14	24.92	12.17	0	NA	NA	NA	NA	NA	NA	34	yes	yes	yes	yes	yes	yes
QTL210663	UK10K1114	Dizygotic	female	NA	NA	0.416	3384467	5.773	4863	2.091	0.2	23.22	13.38	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL210666	UK10K1669	Dizygotic	female	NA	NA	0.21	3413537	9.909	7586	2.086	0.13	24.04	12.41	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL210667	UK10K792	Dizygotic	female	NA	NA	0.468	3372263	4.909	4117	2.088	0.29	21.96	12.44	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL210670	UK10K935	Dizygotic	female	NA	NA	0.412	3424559	6	5853	2.088	0.28	23.77	12.31	0	NA	NA	NA	NA	NA	NA	35	yes	yes	yes	yes	yes	yes
QTL210679	UK10K1180	Dizygotic	female	NA	NA	0.436	3383540	5.727	5043	2.087	0.22	24.03	11.99	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL210683	UK10K951	Dizygotic	female	NA	NA	0.391	3376712	6.136	5227	2.091	0.16	24.38	11.21	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL210686	UK10K906	Dizygotic	female	NA	NA	0.461	3377357	5.182	4819	2.09	0.22	24.75	11.76	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210691	UK10K740	Dizygotic	female	NA	NA	0.444	3381305	5	4521	2.092	0.19	23.48	12.43	0	NA	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL210701	UK10K440	Dizygotic	female	NA	NA	0.49	3380057	5	4432	2.09	0.19	23.17	11.9	0	NA	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL210706	UK10K1806	Dizygotic	female	NA	NA	0.345	3397750	6.909	6102	2.086	0.22	24.31	11.92	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL210708	UK10K168	Dizygotic	female	NA	NA	0.475	3405223	5.818	5090	2.088	0.22	23.54	12.89	0	NA	NA	NA	NA	NA	NA	33	yes	yes	yes	yes	yes	yes
QTL210710	UK10K937	Dizygotic	female	NA	NA	0.387	3382775	5.864	4468	2.096	0.17	22.93	12.82	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210714	UK10K1335	Dizygotic	female	NA	NA	0.441	3391241	5.864	4985	2.09	0.22	22.42	12.28	0	NA	NA	NA	NA	NA	NA	29	yes	yes	yes	yes	yes	yes
QTL210717	UK10K1314	Dizygotic	female	NA	NA	1.006	3447288	6.136	17634	2.091	0.64	24.71	11.23	0	NA	yes	NA	NA	NA	NA	10	yes	no	yes	yes	yes	no
QTL210718	UK10K560	Dizygotic	female	NA	NA	0.401	3370815	5.864	5250	2.092	0.16	22.35	12.43	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL210723	UK10K978	Dizygotic	female	NA	NA	0.505	3398772	5.136	4647	2.092	0.19	22.41	12.86	0	NA	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL210729	UK10K1116	Dizygotic	female	NA	NA	0.648	3406032	5.636	5285	2.091	0.36	25.33	12.17	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210732	UK10K1700	Dizygotic	female	NA	NA	0.354	3399630	7.818	7061	2.088	0.19	23.48	12.28	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL210738	UK10K1119	Dizygotic	female	NA	NA	0.944	3407802	4.909	5346	2.092	0.44	23.82	13.24	0	NA	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL210747	UK10K1030	Dizygotic	female	NA	NA	0.528	3404601	5.364	7696	2.093	0.17	23.98	12.81	0	NA	NA	NA	NA	NA	NA	32	yes	yes	yes	yes	yes	yes
QTL210750	UK10K181	Dizygotic	female	NA	NA	0.343	3393586	6.682	5506	2.092	0.16	23.75	12.8	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL210751	UK10K1323	Monozygotic	female	NA	NA	0.416	3395460	5.818	5122	2.089	0.13	23.68	12.82	0	NA	NA	NA	NA	NA	NA	34	yes	yes	yes	yes	yes	yes
QTL210757	UK10K1732	Dizygotic	female	NA	NA	0.296	3401537	7.909	6613	2.086	0.14	24.62	12.32	0	NA	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL210760	UK10K574	Dizygotic	female	NA	NA	1.921	3408013	4.955	4537	2.089	1.08	23.46	12.11	0	NA	NA	NA	NA	NA	NA	29	yes	yes	yes	yes	yes	yes
QTL210763	UK10K938	Dizygotic	female	NA	NA	0.422	3384605	5.364	4644	2.093	0.22	23.93	11.42	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL210764	UK10K1188	Dizygotic	female	NA	NA	1.038	3407574	5.864	5687	2.092	0.55	21.36	13.44	0	NA	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL210770	UK10K949	Dizygotic	female	NA	NA	0.55	3384178	5.773	5322	2.091	0.26	21.87	13.41	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210774	UK10K775	Dizygotic	female	NA	NA	0.403	3392598	7.273	5291	2.089	0.18	23.82	11.4	0	NA	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL210781	UK10K1009	Dizygotic	female	NA	NA	0.477	3397340	5.682	5553	2.093	0.22	24.64	13.05	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL210782	UK10K19	Monozygotic	female	NA	NA	0.471	3394809	4.864	3545	2.089	0.22	21.95	13.12	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL210789	UK10K92	Dizygotic	female	NA	NA	0.405	3382093	5.727	4767	2.091	0.21	24.98	12.09	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210790	UK10K1593	Dizygotic	female	NA	NA	0.257	3401489	8.455	7698	2.084	0.16	22.68	12.38	0	NA	NA	NA	NA	NA	NA	32	yes	yes	yes	yes	yes	yes
QTL210792	UK10K1096	Dizygotic	female	NA	NA	0.455	3377698	5.591	4812	2.091	0.15	24.05	12.29	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210797	UK10K1107	Dizygotic	female	NA	NA	1.98	3395801	5.318	4429	2.092	1.03	24.52	11.77	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210801	UK10K445	Dizygotic	female	NA	NA	0.51	3395596	5.182	5541	2.09	0.18	23	12.74	0	NA	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL210804	UK10K926	Dizygotic	female	NA	NA	0.405	3395491	6.045	6145	2.091	0.2	24.61	12.3	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL210830	UK10K770	Monozygotic	female	NA	NA	0.406	3391759	5.682	4358	2.09	0.25	24.66	11.57	0	NA	NA	NA	NA	NA	NA	33	yes	yes	yes	yes	yes	yes
QTL210875	UK10K58	Monozygotic	female	NA	NA	0.432	3381745	5.682	4998	2.093	0.23	23.61	12.45	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL210914	UK10K1242	Monozygotic	female	NA	NA	0.462	3394202	5.727	5641	2.089	0.3	24.72	11.8	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL210924	UK10K1243	Monozygotic	female	NA	NA	0.481	3381536	4.909	5052	2.094	0.23	22.94	12.16	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL210949	UK10K1249	Monozygotic	female	NA	NA	0.525	3390376	5.727	5253	2.091	0.3	24.66	11.88	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL210996	UK10K520	Monozygotic	female	NA	NA	0.441	3400466	5.182	4349	2.094	0.27	22.29	12.09	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL211004	UK10K328	Monozygotic	female	NA	NA	0.545	3393498	5.864	5411	2.092	0.34	23.81	11.69	0	NA	NA	NA	NA	NA	NA	34	yes	yes	yes	yes	yes	yes
QTL211011	UK10K1244	Monozygotic	female	NA	NA	0.452	3401151	5.773	4918	2.089	0.17	21.83	13.31	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL211021	UK10K1652	Monozygotic	female	NA	NA	0.461	3382130	5	4542	2.088	0.33	23.63	12.02	0	NA	NA	NA	NA	NA	NA	34	yes	yes	yes	yes	yes	yes
QTL211047	UK10K1726	Monozygotic	female	NA	NA	0.341	3400814	7.864	7470	2.09	0.15	23.65	13.4	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL211055	UK10K1738	Monozygotic	female	NA	NA	0.295	3377654	7.818	5882	2.086	0.15	24.19	12.4	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL211060	UK10K1740	Monozygotic	female	NA	NA	0.292	3387270	7.773	6195	2.087	0.15	24.39	12.29	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL211066	UK10K527	Monozygotic	female	NA	NA	0.494	3374449	5.273	5017	2.093	0.28	21.86	13.02	0	NA	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL211097	UK10K147	Monozygotic	female	NA	NA	0.402	3379053	5.955	5173	2.093	0.25	22.53	12.34	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL211107	UK10K524	Monozygotic	female	NA	NA	0.44	3389449	5	4154	2.089	0.23	22.62	12.59	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL211109	UK10K397	Monozygotic	female	NA	NA	0.412	3407508	5.409	4595	2.09	0.19	23.99	12.58	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL211115	UK10K823	Monozygotic	female	NA	NA	0.487	3401697	5.591	4847	2.089	0.26	22.9	12.65	0	NA	NA	NA	NA	NA	NA	35	yes	yes	yes	yes	yes	yes
QTL211134	UK10K757	Monozygotic	female	NA	NA	0.397	3380214	6.091	5082	2.092	0.25	21.86	12.94	0	NA	NA	NA	NA	NA	NA	34	yes	yes	yes	yes	yes	yes
QTL211157	UK10K247	Monozygotic	female	NA	NA	0.581	3404833	5.364	4586	2.092	0.35	23.95	12.33	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL211162	UK10K1836	Monozygotic	female	NA	NA	0.315	3400637	7.864	6812	2.088	0.15	23.29	12.31	0	NA	NA	NA	NA	NA	NA	34	yes	yes	yes	yes	yes	yes
QTL211175	UK10K1840	Monozygotic	female	NA	NA	0.346	3399942	6.864	6281	2.089	0.2	23.39	12.46	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL211178	UK10K1820	Monozygotic	female	NA	NA	0.27	3417854	8.909	6883	2.087	0.1	22.65	13.18	0	NA	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL211180	UK10K783	Monozygotic	female	NA	NA	0.471	3385431	5.409	4632	2.092	0.16	23.73	11.96	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL211193	UK10K1833	Monozygotic	female	NA	NA	0.349	3385663	7.045	5489	2.089	0.11	26.3	11.99	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL211196	UK10K1219	Monozygotic	female	NA	NA	0.463	3379227	4.909	4145	2.089	0.22	23.7	12.3	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL211202	UK10K1839	Monozygotic	female	NA	NA	1.457	3380862	6.955	5839	2.091	0.98	25.01	11.98	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL211204	UK10K1846	Monozygotic	female	NA	NA	0.217	3418667	9.864	6092	2.092	0.13	23.31	12.66	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL211205	UK10K1830	Monozygotic	female	NA	NA	0.284	3415364	8.909	7949	2.091	0.19	25.11	12.16	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL211208	UK10K1832	Monozygotic	female	NA	NA	0.32	3365649	6.955	5347	2.087	0.19	24.29	12.48	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL211243	UK10K390	Monozygotic	female	NA	NA	0.468	3385883	4.955	3958	2.093	0.18	23.83	12.18	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL211264	UK10K1201	Monozygotic	female	NA	NA	0.439	3384709	5.545	5228	2.09	0.28	22.29	12.63	0	NA	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL211289	UK10K409	Monozygotic	female	NA	NA	0.414	3393719	5.818	4358	2.088	0.13	23.76	12.74	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL211301	UK10K515	Monozygotic	female	NA	NA	0.377	3399737	5.864	4097	2.09	0.18	23.1	12.47	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL211316	UK10K1018	Monozygotic	female	NA	NA	0.459	3390106	4.909	4433	2.09	0.26	23.57	12	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL211323	UK10K1598	Monozygotic	female	NA	NA	0.344	3410863	7.818	6509	2.085	0.17	22.73	12.32	0	NA	NA	NA	NA	NA	NA	35	yes	yes	yes	yes	yes	yes
QTL211353	UK10K1862	Monozygotic	female	NA	NA	0.332	3397029	6.955	5508	2.087	0.21	23.69	12.34	0	NA	NA	NA	NA	NA	NA	34	yes	yes	yes	yes	yes	yes
QTL211371	UK10K1869	Monozygotic	female	NA	NA	0.402	3383279	5.864	5148	2.087	0.12	24.8	12.15	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL211375	UK10K1768	Monozygotic	female	NA	NA	0.531	3387859	7.182	5960	2.085	0.34	22.59	13.93	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL211415	UK10K1106	Monozygotic	female	NA	NA	0.442	3397418	4.909	4570	2.092	0.17	22.79	12.58	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL211423	UK10K1172	Monozygotic	female	NA	NA	0.449	3409296	5.864	6823	2.091	0.26	23.67	12.21	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL211430	UK10K1053	Monozygotic	female	NA	NA	0.437	3375549	5	3947	2.094	0.12	23.56	12.41	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL211459	UK10K947	Monozygotic	female	NA	NA	0.408	3401457	5.136	4298	2.093	0.12	23.66	12.87	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL211493	UK10K51	Monozygotic	female	NA	NA	0.71	3394829	6	4968	2.087	0.3	24.73	11.63	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL211495	UK10K44	Monozygotic	female	NA	NA	0.4	3374928	5.864	5150	2.089	0.28	23.05	12.5	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL211503	UK10K43	Monozygotic	female	NA	NA	0.409	3405488	5.864	5373	2.09	0.27	23.24	12.55	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL211509	UK10K778	Monozygotic	female	NA	NA	0.415	3391438	5.818	4516	2.091	0.21	24.44	12.58	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL211511	UK10K31	Monozygotic	female	NA	NA	0.437	3382866	5.636	5130	2.089	0.18	21.89	14.1	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL211514	UK10K49	Monozygotic	female	NA	NA	0.318	3404782	6.955	5998	2.089	0.14	24.56	11.92	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL211518	UK10K2	Monozygotic	female	NA	NA	0.463	3377347	4.864	4453	2.093	0.23	23.4	12.63	0	NA	NA	NA	NA	NA	NA	33	yes	yes	yes	yes	yes	yes
QTL211521	UK10K3	Monozygotic	female	NA	NA	0.448	3384511	5	4497	2.091	0.21	23.64	12.83	0	NA	NA	NA	NA	NA	NA	35	yes	yes	yes	yes	yes	yes
QTL211529	UK10K41	Monozygotic	female	NA	NA	0.418	3380629	5	4677	2.093	0.22	23.53	13.24	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL211531	UK10K6	Monozygotic	female	NA	NA	0.41	3380944	5.818	4899	2.091	0.22	22.17	12.8	0	NA	NA	NA	NA	NA	NA	34	yes	yes	yes	yes	yes	yes
QTL211545	UK10K816	Monozygotic	female	NA	NA	0.43	3386274	5.045	3708	2.092	0.16	23.78	12.09	0	NA	NA	NA	NA	NA	NA	35	yes	yes	yes	yes	yes	yes
QTL211549	UK10K765	Monozygotic	female	NA	NA	0.448	3393350	5.864	6214	2.09	0.23	25.67	11.82	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL211551	UK10K313	Monozygotic	female	NA	NA	0.388	3396723	5.682	4656	2.09	0.17	24	12.28	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL211565	UK10K680	Monozygotic	female	NA	NA	0.415	3393419	5.682	4760	2.09	0.22	24.34	12.29	0	NA	NA	NA	NA	NA	NA	35	yes	yes	yes	yes	yes	yes
QTL211567	UK10K1779	Monozygotic	female	NA	NA	0.321	3371459	7.682	6650	2.085	0.19	22.22	12.4	0	NA	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
